date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:43:18	102082/102082	---M--	200	added ('OK')	image/jpeg	etag:%2218ec2-51370ed6e1787%22	http://moc.sg/wp-content/uploads/2015/04/services-office-2.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-office-2.jpg	(from http://moc.sg/office-cleaning/)
20:43:20	165054/165054	---M--	200	added ('OK')	image/jpeg	etag:%22284be-51370ed89fc27%22	http://moc.sg/wp-content/uploads/2015/04/services-office-3-718x1024.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-office-3-718x1024.jpg	(from http://moc.sg/office-cleaning/)
20:43:21	2205/2205	---M-Z	200	added ('OK')	application/json	date:Mon,%2030%20May%202022%2010:15:08%20GMT	http://moc.sg/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmoc.sg%2Fshowroom-cleaning%2F	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-json/oembed/1.0/embedb5f9.json	(from http://moc.sg/showroom-cleaning/)
20:43:21	734/734	---M--	200	added ('OK')	application/rss+xml	etag:%22a058d16e03b78d3ccf83dc316251085e%22	http://moc.sg/showroom-cleaning/feed/	D:/Static%20Webpage/fyp2/MOC/moc.sg/showroom-cleaning/feed/index.html	(from http://moc.sg/showroom-cleaning/)
20:43:22	2302/2302	---M-Z	200	added ('OK')	text/xml	date:Mon,%2030%20May%202022%2010:15:09%20GMT	http://moc.sg/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmoc.sg%2Fshowroom-cleaning%2F&format=xml	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-json/oembed/1.0/embedc263	(from http://moc.sg/showroom-cleaning/)
20:43:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20May%202022%2010:15:09%20GMT	http://moc.sg/?p=16551	D:/Static%20Webpage/fyp2/MOC/moc.sg/index7343.html	(from http://moc.sg/showroom-cleaning/)
20:43:23	169304/169304	---M--	200	added ('OK')	image/jpeg	etag:%2229558-51370ed829987%22	http://moc.sg/wp-content/uploads/2015/04/services-office-3.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-office-3.jpg	(from http://moc.sg/office-cleaning/)
20:43:34	102607/102607	---M--	200	added ('OK')	image/jpeg	etag:%22190cf-51370edb63c47%22	http://moc.sg/wp-content/uploads/2015/04/services-office-5.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-office-5.jpg	(from http://moc.sg/office-cleaning/)
20:43:35	113540/113540	---M--	200	added ('OK')	image/jpeg	etag:%221bb84-51370edbad027%22	http://moc.sg/wp-content/uploads/2015/04/services-office-5-758x1024.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-office-5-758x1024.jpg	(from http://moc.sg/office-cleaning/)
20:43:38	90578/90578	---M--	200	added ('OK')	image/jpeg	etag:%22161d2-5137107b58247%22	http://moc.sg/wp-content/uploads/2015/04/services-showroom-9.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-showroom-9.jpg	(from http://moc.sg/showroom-cleaning/)
